brand,model,year,price,color,mileage,body_type,damage,owners,usage,service_hist
Volkswagen,Jetta GLI SEL,2016,18770,Red,24623,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,14793,Black,30415,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2016,14409,Silver,20924,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2014,10427,Red,48593,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,15664,Silver,15780,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,14793,Black,30415,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,13064,White,14794,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,12479,Black,28723,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat S,2017,15284,Red,5740,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2016,15077,Blue,11235,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Atlas SE w/Technology,2018,32128,Unspecified,4957,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2016,14409,Silver,20924,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,15116,Red,21466,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15590,Silver,29669,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL Premium,2019,21842,White,12818,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta R-Line,2019,19463,White,7865,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2019,24989,Gray,9432,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan Wolfsburg Edition,2017,20989,White,16567,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,12995,Black,32210,Sedan,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,11584,Gray,34772,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle SEL,2016,16197,Black,27204,Hatchback,Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,13747,Silver,29220,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,11647,White,24846,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,10899,Red,37253,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat SE,2016,16078,Beige,12097,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan,2018,17290,White,11067,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,14797,White,12259,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta GLI,2017,15995,Gray,51623,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2014,10427,Red,48593,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,15664,Silver,15780,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,14793,Black,30415,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,13064,White,14794,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,12479,Black,28723,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan,2018,17290,White,11067,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle,2014,12455,Black,73221,Convertible,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,12789,White,28191,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat Wolfsburg Edition,2019,19986,Gray,8355,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Lease Use,Service history
Volkswagen,Tiguan S,2016,14998,White,26405,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
